Series,Cluster
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151819037,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021297604,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001573486516,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000494843387,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375977443,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020738111,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021296099,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151931036,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151919962,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000574652367,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000574096938,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022480872,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375389194,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001573259479,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000573115987,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022498957,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021372307,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021307767,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001187154183,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000034560063,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938985217,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021284320,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938925039,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376555938,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000494843717,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001573339537,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000252600525,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021366169,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376057979,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001128606605,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001130931108,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021202484,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021210057,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737536,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021387317,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021571433,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376400793,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737005,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375476792,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021087191,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001130932132,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737076,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376332591,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022806947,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001461514301,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737062,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001146043060,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376277002,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001129089710,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001128206625,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737050,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185821954,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377299597,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736990,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021408286,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000062157273,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020738242,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021943182,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021412988,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376078569,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000573254131,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021310334,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737866,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000025676982,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151828879,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001376080051,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021214392,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375592480,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021372215,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151828878,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375606824,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022502748,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737126,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000075825628,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020738054,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185884250,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000574430662,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736947,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377327180,Cluster 0
